id,route_id,stop_name,sequence_number,is_boarding_allowed,is_dropping_allowed,is_active,created_at
e59ba1c8-1798-5ee2-93d5-06db16def156,1729efdd-e340-5069-a28b-05bee148da05,Hyderabad,1,true,false,true,2025-01-15T09:00:00+05:30
d3edd848-e47a-55f7-a81e-6c536814ae9e,1729efdd-e340-5069-a28b-05bee148da05,Kurnool,2,true,true,true,2025-01-15T09:00:00+05:30
04aedd4a-9949-5896-b4c1-586312eef921,1729efdd-e340-5069-a28b-05bee148da05,Anantapur,3,true,true,true,2025-01-15T09:00:00+05:30
2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,1729efdd-e340-5069-a28b-05bee148da05,Bangalore,4,false,true,true,2025-01-15T09:00:00+05:30
35c5dfcc-618b-5c20-a6c4-807f3c785758,e6f6962a-8ff5-5bd8-974a-a4cadfcf2d7e,Hyderabad,1,true,false,true,2025-01-15T09:00:00+05:30
07a70b23-5513-554c-9130-21002c348a4a,e6f6962a-8ff5-5bd8-974a-a4cadfcf2d7e,Nalgonda,2,true,true,true,2025-01-15T09:00:00+05:30
264d6f8e-6f06-560a-b52e-d215d5c12b64,e6f6962a-8ff5-5bd8-974a-a4cadfcf2d7e,Tirupati,3,true,true,true,2025-01-15T09:00:00+05:30
4f81c276-6e30-567e-bc43-8f07718955c6,e6f6962a-8ff5-5bd8-974a-a4cadfcf2d7e,Chennai,4,false,true,true,2025-01-15T09:00:00+05:30
1fcffcc3-57bb-5ba1-8009-8a00bc93352d,8a7165f3-11ee-5e56-b09e-dd3dad561be1,Bangalore,1,true,false,true,2025-01-15T09:00:00+05:30
33009c7d-e861-5808-8dfd-872f15ce37f7,8a7165f3-11ee-5e56-b09e-dd3dad561be1,Krishnagiri,2,true,true,true,2025-01-15T09:00:00+05:30
08c8c106-82d1-56c4-a256-0ccc650a301d,8a7165f3-11ee-5e56-b09e-dd3dad561be1,Vellore,3,true,true,true,2025-01-15T09:00:00+05:30
7fe0f447-e3b2-572d-9e04-2dc47ee2c331,8a7165f3-11ee-5e56-b09e-dd3dad561be1,Chennai,4,false,true,true,2025-01-15T09:00:00+05:30
3451582f-0a94-50ae-9b8b-05a057f92040,94264b5e-2735-5193-a3a2-e07b8e3856a1,Hyderabad,1,true,false,true,2025-01-15T09:00:00+05:30
3f50f041-2052-58c5-999e-63e8cd0d4248,94264b5e-2735-5193-a3a2-e07b8e3856a1,Suryapet,2,true,true,true,2025-01-15T09:00:00+05:30
a236036c-b55f-5b10-8b8d-a89c71f0b0a4,94264b5e-2735-5193-a3a2-e07b8e3856a1,Khammam,3,true,true,true,2025-01-15T09:00:00+05:30
a5d690e7-25af-575c-8724-68885394fa2f,94264b5e-2735-5193-a3a2-e07b8e3856a1,Vijayawada,4,false,true,true,2025-01-15T09:00:00+05:30
6f31c0f7-5de2-515b-a9b8-ea295b9df82d,efca8a0e-bd1f-5b43-a798-3c0a7d610765,Bangalore,1,true,false,true,2025-01-15T09:00:00+05:30
364f0972-82cc-5fcf-85be-f39a8303ebe6,efca8a0e-bd1f-5b43-a798-3c0a7d610765,Anantapur,2,true,true,true,2025-01-15T09:00:00+05:30
fac884a9-c6c0-5e21-8bee-ee0511f16838,efca8a0e-bd1f-5b43-a798-3c0a7d610765,Kurnool,3,true,true,true,2025-01-15T09:00:00+05:30
4a39a582-7dae-5589-a12f-7748b9dd3b66,efca8a0e-bd1f-5b43-a798-3c0a7d610765,Hyderabad,4,false,true,true,2025-01-15T09:00:00+05:30
